Class,Recall,Total_Samples,Correct_Predictions,Recall_Percent
A,0.0,1,0,0.0
B,0.0,0,0,0.0
C,0.0,0,0,0.0
D,0.0,0,0,0.0
E,0.0,1,0,0.0
F,0.0,0,0,0.0
G,0.0,0,0,0.0
H,0.9230769230059171,13,12,92.30769230059171
I,0.9444444443919753,18,17,94.44444443919753
J,0.6666666664444444,3,2,66.66666664444443
K,0.99999999975,4,4,99.999999975
L,0.0,0,0,0.0
M,0.0,1,0,0.0
N,0.79999999984,5,4,79.999999984
O,0.0,0,0,0.0
P,0.0,0,0,0.0
Q,0.0,1,0,0.0
R,0.0,0,0,0.0
S,0.5454545454049586,11,6,54.54545454049586
T,0.5555555554938272,9,5,55.55555554938272
U,0.0,0,0,0.0
V,0.0,0,0,0.0
W,0.0,0,0,0.0
X,0.0,0,0,0.0
Y,0.0,0,0,0.0
Z,0.9374999999414062,16,15,93.74999999414062
space,0.9444444443919753,18,17,94.44444443919753
OVERALL,0.8118811881188119,101,82,81.1881188118812
